GameFileName,GameName,GameDisplay,MediaSearch,Manufact,GameYear,NumPlayers,GameType,Category,GameTheme,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,Rom,Tags
Adventures of Rocky and Bullwinkle and Friends (Data East 1993),Adventures of Rocky and Bullwinkle and Friends (Data East 1993),Adventures of Rocky and Bullwinkle and Friends (Data East 1993),,Data East,1993,4,SS,,Cartoon,http://www.ipdb.org/machine.cgi?id=23,23,,Tim Seckel,"Cyberpez, Sliderpoint, Wrd, Roth, Dark, Zany, Fbx, nFozzy, DJRobX, RustyCardores",1.0,rab_320,
Adventures of Rocky and Bullwinkle and Friends (Data East 1993),Adventures of Rocky and Bullwinkle and Friends (Data East 1993),Adventures of Rocky and Bullwinkle and Friends (Data East 1993),,Data East,1993,4,SS,,Cartoon,http://www.ipdb.org/machine.cgi?id=23,23,,Tim Seckel,"Requiem, Zedonius",1.0,rab_320,
Adventures of Rocky and Bullwinkle and Friends (Data East 1993),Adventures of Rocky and Bullwinkle and Friends (Data East 1993),Adventures of Rocky and Bullwinkle and Friends (Data East 1993),,Data East,1993,4,SS,,Cartoon,http://www.ipdb.org/machine.cgi?id=23,23,,Tim Seckel,"Zedonius, RustyCardones",1.0,rab_320,
Aerosmith (Original 2019),Aerosmith (Original 2019),Aerosmith (Original 2019),,Original,2019,,SS,,,Not Available,,,,"Mussinger, Darth Marino, Siggi",1.1,,
Agents 777 (Game Plan 1984),Agents 777 (Game Plan 1984),Agents 777 (Game Plan 1984),,Game Plan,1984,4,SS,,Cartoon - Crime,http://www.ipdb.org/machine.cgi?id=26,26,,Ed Cebula,"HSM, Xenonph",1.0,agent777,
Agents 777 (Game Plan 1984),Agents 777 (Game Plan 1984),Agents 777 (Game Plan 1984),,Game Plan,1984,4,SS,,Cartoon - Crime,http://www.ipdb.org/machine.cgi?id=26,26,,Ed Cebula,Hmueck,1.0,agent777,
Air Aces (Bally 1975),Air Aces (Bally 1975),Air Aces (Bally 1975),,Bally,1975,4,EM,,Adventure - Aviation - Combat - Military - Warfare,https://www.ipdb.org/machine.cgi?id=28,28,,Jim Patla,"Bord, Updon, Scottacus",2.0,,
Airborne (Capcom 1996),Airborne (Capcom 1996),Airborne (Capcom 1996),,Capcom,1996,4,SS,,Aviation,http://www.ipdb.org/machine.cgi?id=3783,3783,,Claude Fernandez,"Robbo43, DCrosby, Tab, Destruk, Bodydump, JPSalas, Ninuzzu, UncleWilly, Dark, nFozzy, Zany, Flupper",1.0,abv106,
Airborne Avenger (Atari 1977),Airborne Avenger (Atari 1977),Airborne Avenger (Atari 1977),,Atari,1977,4,SS,,Adventure - Combat,http://www.ipdb.org/machine.cgi?id=http://www.ipdb.org/machine.cgi?id=33,33,,Steve Ritchie,"DartMarino, Destruk, John Shepherd, Dboyrecords, BlackPredator72, 32assassin",1.3,aavenger,
Airport (Gottlieb 1969),Airport (Gottlieb 1969),Airport (Gottlieb 1969),,Gottlieb,1969,2,EM,,Travel,http://www.ipdb.org/machine.cgi?id=35,35,,Ed Krynski,"Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim",1.0a,,
